date,open,high,low,close,adj_close,volume
"Jan 12, 2024","1,165.00","1,200.00","1,160.80","1,167.90","1,167.90","345,968"
"Jan 11, 2024","1,166.75","1,169.55","1,158.00","1,159.90","1,159.90","120,614"
"Jan 10, 2024","1,167.70","1,170.00","1,155.70","1,163.30","1,163.30","59,128"
"Jan 09, 2024","1,178.65","1,178.65","1,165.00","1,166.65","1,166.65","49,411"
"Jan 08, 2024","1,175.00","1,178.15","1,168.60","1,170.90","1,170.90","110,552"
"Jan 05, 2024","1,172.25","1,179.40","1,170.05","1,171.55","1,171.55","128,441"
"Jan 04, 2024","1,173.75","1,182.00","1,170.10","1,171.40","1,171.40","126,592"
"Jan 03, 2024","1,181.20","1,184.95","1,170.00","1,172.30","1,172.30","167,690"
"Jan 02, 2024","1,183.40","1,188.75","1,177.45","1,182.15","1,182.15","45,055"
"Jan 01, 2024","1,186.95","1,197.00","1,179.45","1,180.40","1,180.40","166,837"
"Dec 29, 2023","1,179.00","1,187.60","1,170.65","1,180.45","1,180.45","160,121"
"Dec 28, 2023","1,200.05","1,201.50","1,168.60","1,176.65","1,176.65","123,468"
"Dec 27, 2023","1,205.25","1,213.70","1,196.50","1,199.25","1,199.25","120,455"
"Dec 26, 2023","1,210.00","1,217.50","1,201.00","1,202.95","1,202.95","143,677"
"Dec 22, 2023","1,215.00","1,221.40","1,205.20","1,208.90","1,208.90","129,367"
"Dec 21, 2023","1,167.95","1,219.05","1,165.00","1,209.20","1,209.20","136,098"
"Dec 20, 2023","1,246.40","1,250.60","1,185.60","1,199.80","1,199.80","369,056"
"Dec 19, 2023","1,230.05","1,259.65","1,225.00","1,241.90","1,241.90","358,193"
"Dec 18, 2023","1,246.95","1,250.00","1,226.00","1,229.70","1,229.70","229,896"
"Dec 15, 2023","1,257.95","1,258.70","1,239.45","1,242.25","1,242.25","77,098"
"Dec 14, 2023","1,271.30","1,276.25","1,240.10","1,243.05","1,243.05","281,144"
"Dec 13, 2023","1,243.25","1,284.45","1,236.00","1,250.95","1,250.95","517,656"
"Dec 12, 2023","1,255.95","1,263.15","1,230.00","1,233.25","1,233.25","136,591"
"Dec 11, 2023","1,200.60","1,269.80","1,193.35","1,237.25","1,237.25","368,084"
